Year,Attribute,Value
1901,Universal right to vote for men only,17
1901,Universal right to vote for men and women,2
1902,No universal right to vote,126
1902,Universal right to vote for men only,17
1902,Universal right to vote for men and women,2
1903,No universal right to vote,127
1903,Universal right to vote for men only,18
1903,Universal right to vote for men and women,2
1904,No universal right to vote,129
1904,Universal right to vote for men only,18
1904,Universal right to vote for men and women,2
1905,No universal right to vote,128
1905,Universal right to vote for men only,19
1905,Universal right to vote for men and women,2
1906,No universal right to vote,128
1906,Universal right to vote for men only,19
1906,Universal right to vote for men and women,3
1907,No universal right to vote,128
1907,Universal right to vote for men only,19
1907,Universal right to vote for men and women,3
1908,No universal right to vote,123
1908,Universal right to vote for men only,20
1908,Universal right to vote for men and women,3
1909,No universal right to vote,122
1909,Universal right to vote for men only,21
1909,Universal right to vote for men and women,3
1910,No universal right to vote,122
1910,Universal right to vote for men only,21
1910,Universal right to vote for men and women,3
1911,No universal right to vote,123
1911,Universal right to vote for men only,22
1911,Universal right to vote for men and women,3
1912,No universal right to vote,123
1912,Universal right to vote for men only,23
1912,Universal right to vote for men and women,3
1913,No universal right to vote,123
1913,Universal right to vote for men only,23
1913,Universal right to vote for men and women,4
1914,No universal right to vote,125
1914,Universal right to vote for men only,23
1914,Universal right to vote for men and women,4
1915,No universal right to vote,121
1915,Universal right to vote for men only,23
1915,Universal right to vote for men and women,6
1916,No universal right to vote,124
1916,Universal right to vote for men only,23
1916,Universal right to vote for men and women,6
1917,No universal right to vote,123
1917,Universal right to vote for men only,23
1917,Universal right to vote for men and women,8
1918,No universal right to vote,123
1918,Universal right to vote for men only,26
1918,Universal right to vote for men and women,12
1919,No universal right to vote,120
1919,Universal right to vote for men only,25
1919,Universal right to vote for men and women,17
1920,No universal right to vote,118
1920,Universal right to vote for men only,27
1920,Universal right to vote for men and women,19
1921,No universal right to vote,117
1921,Universal right to vote for men only,28
1921,Universal right to vote for men and women,19
1922,No universal right to vote,120
1922,Universal right to vote for men only,27
1922,Universal right to vote for men and women,19
1923,No universal right to vote,119
1923,Universal right to vote for men only,28
1923,Universal right to vote for men and women,19
1924,No universal right to vote,118
1924,Universal right to vote for men only,29
1924,Universal right to vote for men and women,20
1925,No universal right to vote,116
1925,Universal right to vote for men only,30
1925,Universal right to vote for men and women,21
1926,No universal right to vote,116
1926,Universal right to vote for men only,30
1926,Universal right to vote for men and women,21
1927,No universal right to vote,115
1927,Universal right to vote for men only,31
1927,Universal right to vote for men and women,21
1928,No universal right to vote,114
1928,Universal right to vote for men only,31
1928,Universal right to vote for men and women,22
1929,No universal right to vote,114
1929,Universal right to vote for men only,31
1929,Universal right to vote for men and women,22
1930,No universal right to vote,114
1930,Universal right to vote for men only,30
1930,Universal right to vote for men and women,23
1931,No universal right to vote,113
1931,Universal right to vote for men only,30
1931,Universal right to vote for men and women,24
1932,No universal right to vote,110
1932,Universal right to vote for men only,29
1932,Universal right to vote for men and women,27
1933,No universal right to vote,109
1933,Universal right to vote for men only,30
1933,Universal right to vote for men and women,26
1934,No universal right to vote,109
1934,Universal right to vote for men only,30
1934,Universal right to vote for men and women,26
1935,No universal right to vote,109
1935,Universal right to vote for men only,29
1935,Universal right to vote for men and women,27
1936,No universal right to vote,109
1936,Universal right to vote for men only,29
1936,Universal right to vote for men and women,27
1937,No universal right to vote,110
1937,Universal right to vote for men only,29
1937,Universal right to vote for men and women,27
1938,No universal right to vote,110
1938,Universal right to vote for men only,29
1938,Universal right to vote for men and women,27
1939,No universal right to vote,111
1939,Universal right to vote for men only,29
1939,Universal right to vote for men and women,26
1940,No universal right to vote,112
1940,Universal right to vote for men only,28
1940,Universal right to vote for men and women,23
1941,No universal right to vote,112
1941,Universal right to vote for men only,28
1941,Universal right to vote for men and women,23
1942,No universal right to vote,112
1942,Universal right to vote for men only,27
1942,Universal right to vote for men and women,24
1943,No universal right to vote,112
1943,Universal right to vote for men only,27
1943,Universal right to vote for men and women,24
1944,No universal right to vote,111
1944,Universal right to vote for men only,26
1944,Universal right to vote for men and women,26
1945,No universal right to vote,111
1945,Universal right to vote for men only,24
1945,Universal right to vote for men and women,30
1946,No universal right to vote,107
1946,Universal right to vote for men only,22
1946,Universal right to vote for men and women,37
1947,No universal right to vote,105
1947,Universal right to vote for men only,22
1947,Universal right to vote for men and women,43
1948,No universal right to vote,105
1948,Universal right to vote for men only,22
1948,Universal right to vote for men and women,46
1949,No universal right to vote,102
1949,Universal right to vote for men only,21
1949,Universal right to vote for men and women,50
1950,No universal right to vote,95
1950,Universal right to vote for men only,21
1950,Universal right to vote for men and women,55
1951,No universal right to vote,91
1951,Universal right to vote for men only,22
1951,Universal right to vote for men and women,62
1952,No universal right to vote,85
1952,Universal right to vote for men only,21
1952,Universal right to vote for men and women,69
1953,No universal right to vote,82
1953,Universal right to vote for men only,20
1953,Universal right to vote for men and women,73
1954,No universal right to vote,80
1954,Universal right to vote for men only,19
1954,Universal right to vote for men and women,76
1955,No universal right to vote,77
1955,Universal right to vote for men only,20
1955,Universal right to vote for men and women,78
1956,No universal right to vote,70
1956,Universal right to vote for men only,21
1956,Universal right to vote for men and women,84
1957,No universal right to vote,57
1957,Universal right to vote for men only,18
1957,Universal right to vote for men and women,100
1958,No universal right to vote,55
1958,Universal right to vote for men only,16
1958,Universal right to vote for men and women,104
1959,No universal right to vote,53
1959,Universal right to vote for men only,14
1959,Universal right to vote for men and women,108
1960,No universal right to vote,48
1960,Universal right to vote for men only,15
1960,Universal right to vote for men and women,111
1961,No universal right to vote,44
1961,Universal right to vote for men only,15
1961,Universal right to vote for men and women,115
1962,No universal right to vote,41
1962,Universal right to vote for men only,13
1962,Universal right to vote for men and women,120
1963,No universal right to vote,39
1963,Universal right to vote for men only,12
1963,Universal right to vote for men and women,124
1964,No universal right to vote,34
1964,Universal right to vote for men only,8
1964,Universal right to vote for men and women,133
1965,No universal right to vote,31
1965,Universal right to vote for men only,8
1965,Universal right to vote for men and women,135
1966,No universal right to vote,31
1966,Universal right to vote for men only,7
1966,Universal right to vote for men and women,136
1967,No universal right to vote,29
1967,Universal right to vote for men only,6
1967,Universal right to vote for men and women,139
1968,No universal right to vote,28
1968,Universal right to vote for men only,6
1968,Universal right to vote for men and women,140
1969,No universal right to vote,28
1969,Universal right to vote for men only,6
1969,Universal right to vote for men and women,140
1970,No universal right to vote,26
1970,Universal right to vote for men only,5
1970,Universal right to vote for men and women,143
1971,No universal right to vote,27
1971,Universal right to vote for men only,4
1971,Universal right to vote for men and women,145
1972,No universal right to vote,27
1972,Universal right to vote for men only,4
1972,Universal right to vote for men and women,145
1973,No universal right to vote,25
1973,Universal right to vote for men only,5
1973,Universal right to vote for men and women,146
1974,No universal right to vote,25
1974,Universal right to vote for men only,4
1974,Universal right to vote for men and women,147
1975,No universal right to vote,19
1975,Universal right to vote for men only,4
1975,Universal right to vote for men and women,153
1976,No universal right to vote,18
1976,Universal right to vote for men only,4
1976,Universal right to vote for men and women,154
1977,No universal right to vote,18
1977,Universal right to vote for men only,3
1977,Universal right to vote for men and women,155
1978,No universal right to vote,17
1978,Universal right to vote for men only,3
1978,Universal right to vote for men and women,156
1979,No universal right to vote,14
1979,Universal right to vote for men only,3
1979,Universal right to vote for men and women,159
1980,No universal right to vote,14
1980,Universal right to vote for men only,3
1980,Universal right to vote for men and women,159
1981,No universal right to vote,14
1981,Universal right to vote for men only,3
1981,Universal right to vote for men and women,159
1982,No universal right to vote,14
1982,Universal right to vote for men only,3
1982,Universal right to vote for men and women,159
1983,No universal right to vote,14
1983,Universal right to vote for men only,3
1983,Universal right to vote for men and women,159
1984,No universal right to vote,14
1984,Universal right to vote for men only,2
1984,Universal right to vote for men and women,160
1985,No universal right to vote,13
1985,Universal right to vote for men only,2
1985,Universal right to vote for men and women,161
1986,No universal right to vote,13
1986,Universal right to vote for men only,2
1986,Universal right to vote for men and women,161
1987,No universal right to vote,13
1987,Universal right to vote for men only,2
1987,Universal right to vote for men and women,161
1988,No universal right to vote,12
1988,Universal right to vote for men only,2
1988,Universal right to vote for men and women,162
1989,No universal right to vote,12
1989,Universal right to vote for men only,2
1989,Universal right to vote for men and women,162
1990,No universal right to vote,10
1990,Universal right to vote for men only,2
1990,Universal right to vote for men and women,171
1991,No universal right to vote,11
1991,Universal right to vote for men only,2
1991,Universal right to vote for men and women,180
1992,No universal right to vote,11
1992,Universal right to vote for men only,2
1992,Universal right to vote for men and women,180
1993,No universal right to vote,11
1993,Universal right to vote for men only,2
1993,Universal right to vote for men and women,182
1994,No universal right to vote,10
1994,Universal right to vote for men only,2
1994,Universal right to vote for men and women,183
1995,No universal right to vote,10
1995,Universal right to vote for men only,2
1995,Universal right to vote for men and women,183
1996,No universal right to vote,9
1996,Universal right to vote for men only,2
1996,Universal right to vote for men and women,184
1997,No universal right to vote,9
1997,Universal right to vote for men only,2
1997,Universal right to vote for men and women,184
1998,No universal right to vote,9
1998,Universal right to vote for men only,2
1998,Universal right to vote for men and women,184
1999,No universal right to vote,9
1999,Universal right to vote for men only,2
1999,Universal right to vote for men and women,184
2000,No universal right to vote,9
2000,Universal right to vote for men only,2
2000,Universal right to vote for men and women,184
2001,No universal right to vote,9
2001,Universal right to vote for men only,2
2001,Universal right to vote for men and women,184
2002,No universal right to vote,9
2002,Universal right to vote for men only,1
2002,Universal right to vote for men and women,185
2003,No universal right to vote,7
2003,Universal right to vote for men only,1
2003,Universal right to vote for men and women,187
2004,No universal right to vote,7
2004,Universal right to vote for men only,1
2004,Universal right to vote for men and women,187
2005,No universal right to vote,7
2005,Universal right to vote for men only,1
2005,Universal right to vote for men and women,187
2006,No universal right to vote,7
2006,Universal right to vote for men only,0
2006,Universal right to vote for men and women,189
2007,No universal right to vote,7
2007,Universal right to vote for men only,0
2007,Universal right to vote for men and women,190
2008,No universal right to vote,6
2008,Universal right to vote for men only,0
2008,Universal right to vote for men and women,192
2009,No universal right to vote,6
2009,Universal right to vote for men only,0
2009,Universal right to vote for men and women,192
2010,No universal right to vote,5
2010,Universal right to vote for men only,0
2010,Universal right to vote for men and women,193
2011,No universal right to vote,6
2011,Universal right to vote for men only,0
2011,Universal right to vote for men and women,193
2012,No universal right to vote,6
2012,Universal right to vote for men only,0
2012,Universal right to vote for men and women,193
2013,No universal right to vote,6
2013,Universal right to vote for men only,0
2013,Universal right to vote for men and women,193
2014,No universal right to vote,6
2014,Universal right to vote for men only,0
2014,Universal right to vote for men and women,193
2015,No universal right to vote,6
2015,Universal right to vote for men only,0
2015,Universal right to vote for men and women,193
2016,No universal right to vote,6
2016,Universal right to vote for men only,0
2016,Universal right to vote for men and women,193
2017,No universal right to vote,6
2017,Universal right to vote for men only,0
2017,Universal right to vote for men and women,193
2018,No universal right to vote,6
2018,Universal right to vote for men only,0
2018,Universal right to vote for men and women,193
2019,No universal right to vote,6
2019,Universal right to vote for men only,0
2019,Universal right to vote for men and women,193
2020,No universal right to vote,6
2020,Universal right to vote for men only,0
2020,Universal right to vote for men and women,193
2021,No universal right to vote,6
2021,Universal right to vote for men only,0
2021,Universal right to vote for men and women,193
2022,No universal right to vote,6
2022,Universal right to vote for men only,0
2022,Universal right to vote for men and women,193
2023,No universal right to vote,6
2023,Universal right to vote for men only,0
2023,Universal right to vote for men and women,193
2024,No universal right to vote,6
2024,Universal right to vote for men only,0
2024,Universal right to vote for men and women,193
