Country,Code,Year,Women Political Empowerment (Central Estimate),Electoral Democracy (Central Estimate),Region
Africa,,2005,0.62259257,0.39345455,Africa
Africa,,2006,0.6263148,0.4057818,Africa
Africa,,2007,0.62896293,0.4106,Africa
Africa,,2008,0.62935185,0.4074909,Africa
Africa,,2009,0.62785184,0.4015273,Africa
Africa,,2010,0.6419273,0.4014909,Africa
Africa,,2011,0.64285713,0.41096428,Africa
Africa,,2012,0.65314287,0.41841072,Africa
Africa,,2013,0.6564286,0.42051786,Africa
Africa,,2014,0.65657145,0.42621428,Africa
Africa,,2015,0.66151786,0.42217857,Africa
Africa,,2016,0.66576785,0.42769644,Africa
Africa,,2017,0.6669107,0.42703572,Africa
Africa,,2018,0.67051786,0.42707142,Africa
Africa,,2019,0.66719645,0.41916072,Africa
Africa,,2020,0.6716607,0.41285715,Africa
Africa,,2021,0.66903573,0.398125,Africa
Africa,,2022,0.6709821,0.38717857,Africa
Africa,,2023,0.6726428,0.38330358,Africa
Africa,,2024,0.6729107,0.37021428,Africa
Asia,,1900,0.17976667,0.047142856,Asia
Asia,,1901,0.17983334,0.047285713,Asia
Asia,,1902,0.1794,0.04824138,Asia
Asia,,1903,0.1795,0.048310343,Asia
Asia,,1904,0.1793,0.04803448,Asia
Asia,,1905,0.1802,0.047931034,Asia
Asia,,1906,0.1803,0.050068967,Asia
Asia,,1907,0.18143333,0.052827585,Asia
Asia,,1908,0.18223333,0.055965517,Asia
Asia,,1909,0.1864,0.058931034,Asia
Asia,,1910,0.1877,0.059793103,Asia
Asia,,1911,0.18551613,0.0614,Asia
Asia,,1912,0.1872258,0.060548387,Asia
Asia,,1913,0.18806452,0.060258064,Asia
Asia,,1914,0.18793549,0.06,Asia
Asia,,1915,0.18793549,0.060064517,Asia
Asia,,1916,0.18793549,0.06035484,Asia
Asia,,1917,0.18796775,0.060580645,Asia
Asia,,1918,0.1921143,0.062205885,Asia
Asia,,1919,0.19288571,0.06525714,Asia
Asia,,1920,0.19368571,0.06697143,Asia
Asia,,1921,0.19882353,0.06905882,Asia
Asia,,1922,0.19875,0.07197222,Asia
Asia,,1923,0.20338888,0.07452778,Asia
Asia,,1924,0.21177778,0.079111114,Asia
Asia,,1925,0.212,0.079055555,Asia
Asia,,1926,0.21238889,0.07952778,Asia
Asia,,1927,0.21247223,0.08088889,Asia
Asia,,1928,0.21238889,0.080805555,Asia
Asia,,1929,0.21236111,0.08044445,Asia
Asia,,1930,0.21425,0.08116667,Asia
Asia,,1931,0.21541667,0.08311111,Asia
Asia,,1932,0.22122857,0.0845,Asia
Asia,,1933,0.22277144,0.08908334,Asia
Asia,,1934,0.22591428,0.09136111,Asia
Asia,,1935,0.22734286,0.09461111,Asia
Asia,,1936,0.22762857,0.09561111,Asia
Asia,,1937,0.22782858,0.09730556,Asia
Asia,,1938,0.22822857,0.097555555,Asia
Asia,,1939,0.22768572,0.095916666,Asia
Asia,,1940,0.22945714,0.09486111,Asia
Asia,,1941,0.22229412,0.09255555,Asia
Asia,,1942,0.21654285,0.08411111,Asia
Asia,,1943,0.2172,0.08563889,Asia
Asia,,1944,0.2192647,0.090277776,Asia
Asia,,1945,0.23913889,0.09571052,Asia
Asia,,1946,0.27481082,0.11686842,Asia
Asia,,1947,0.28156757,0.1338718,Asia
Asia,,1948,0.29528204,0.14566666,Asia
Asia,,1949,0.30344737,0.15712196,Asia
Asia,,1950,0.31664866,0.165075,Asia
Asia,,1951,0.32032433,0.171025,Asia
Asia,,1952,0.32435134,0.190275,Asia
Asia,,1953,0.32933334,0.196975,Asia
Asia,,1954,0.33652776,0.198875,Asia
Asia,,1955,0.34158334,0.212425,Asia
Asia,,1956,0.34291667,0.227825,Asia
Asia,,1957,0.34051427,0.226775,Asia
Asia,,1958,0.3453611,0.21775,Asia
Asia,,1959,0.34591892,0.21715,Asia
Asia,,1960,0.3551892,0.214625,Asia
Asia,,1961,0.357,0.20985,Asia
Asia,,1962,0.35505405,0.20665,Asia
Asia,,1963,0.3586,0.203125,Asia
Asia,,1964,0.36211428,0.20305,Asia
Asia,,1965,0.37280557,0.2013,Asia
Asia,,1966,0.37547222,0.20675,Asia
Asia,,1967,0.37672973,0.210125,Asia
Asia,,1968,0.374,0.213175,Asia
Asia,,1969,0.37205264,0.2124,Asia
Asia,,1970,0.37957895,0.2097,Asia
Asia,,1971,0.38669232,0.20311905,Asia
Asia,,1972,0.39,0.20183334,Asia
Asia,,1973,0.39515385,0.20709524,Asia
Asia,,1974,0.40539473,0.21052381,Asia
Asia,,1975,0.3956154,0.20014286,Asia
Asia,,1976,0.40078947,0.18721952,Asia
Asia,,1977,0.40292105,0.18914634,Asia
Asia,,1978,0.40273684,0.19160976,Asia
Asia,,1979,0.40433332,0.1957561,Asia
Asia,,1980,0.41356412,0.19331707,Asia
Asia,,1981,0.41766667,0.19346341,Asia
Asia,,1982,0.41876924,0.19095121,Asia
Asia,,1983,0.41948718,0.19085366,Asia
Asia,,1984,0.42415383,0.19804879,Asia
Asia,,1985,0.42505127,0.20109756,Asia
Asia,,1986,0.43520513,0.20131707,Asia
Asia,,1987,0.4407436,0.21282928,Asia
Asia,,1988,0.45448717,0.22504878,Asia
Asia,,1989,0.4628718,0.23043902,Asia
Asia,,1990,0.48874468,0.25489584,Asia
Asia,,1991,0.49317393,0.26872915,Asia
Asia,,1992,0.5038667,0.28083333,Asia
Asia,,1993,0.50537777,0.29116666,Asia
Asia,,1994,0.5158,0.29260418,Asia
Asia,,1995,0.5188222,0.291,Asia
Asia,,1996,0.51971114,0.29960418,Asia
Asia,,1997,0.5238889,0.3053125,Asia
Asia,,1998,0.5328444,0.310375,Asia
Asia,,1999,0.5403111,0.31533334,Asia
Asia,,2000,0.56135553,0.31860417,Asia
Asia,,2001,0.56457776,0.32222918,Asia
Asia,,2002,0.5713409,0.33264583,Asia
Asia,,2003,0.5711087,0.33760417,Asia
Asia,,2004,0.5688936,0.34175,Asia
Asia,,2005,0.57612765,0.34533334,Asia
Asia,,2006,0.5736667,0.34370834,Asia
Asia,,2007,0.58610207,0.334,Asia
Asia,,2008,0.58981633,0.34902042,Asia
Asia,,2009,0.59367347,0.3595102,Asia
Asia,,2010,0.6030612,0.36281633,Asia
Asia,,2011,0.6041633,0.36859185,Asia
Asia,,2012,0.60740817,0.36767346,Asia
Asia,,2013,0.60248977,0.36038774,Asia
Asia,,2014,0.5991837,0.35638776,Asia
Asia,,2015,0.6024082,0.35142857,Asia
Asia,,2016,0.6006735,0.34838775,Asia
Asia,,2017,0.6060612,0.34936735,Asia
Asia,,2018,0.613,0.35357141,Asia
Asia,,2019,0.6184898,0.36006123,Asia
Asia,,2020,0.61669385,0.35402042,Asia
Asia,,2021,0.6027755,0.34108162,Asia
Asia,,2022,0.6011429,0.33461225,Asia
Asia,,2023,0.5964898,0.33095917,Asia
Asia,,2024,0.58993876,0.3287347,Asia
Europe,,1789,0.15577778,0.067043476,Europe
Europe,,1790,0.15505555,0.065519996,Europe
Europe,,1791,0.15505555,0.0648,Europe
Europe,,1792,0.15505555,0.06592,Europe
Europe,,1793,0.15505555,0.063719995,Europe
Europe,,1794,0.15389474,0.06412,Europe
Europe,,1795,0.15294737,0.06076,Europe
Europe,,1796,0.15162499,0.063391306,Europe
Europe,,1797,0.15162499,0.066,Europe
Europe,,1798,0.15693334,0.07382609,Europe
Europe,,1799,0.16192856,0.07178261,Europe
Europe,,1800,0.15306666,0.06383333,Europe
Europe,,1801,0.15326667,0.064826086,Europe
Europe,,1802,0.147375,0.06329167,Europe
Europe,,1803,0.1689375,0.064782605,Europe
Europe,,1804,0.16870588,0.06460869,Europe
Europe,,1805,0.16847059,0.06286956,Europe
Europe,,1806,0.15625,0.06173913,Europe
Europe,,1807,0.15705,0.058199998,Europe
Europe,,1808,0.15494737,0.060583334,Europe
Europe,,1809,0.15505263,0.06632,Europe
Europe,,1810,0.1598889,0.06891666,Europe
Europe,,1811,0.15753333,0.070318185,Europe
Europe,,1812,0.16064286,0.071727276,Europe
Europe,,1813,0.16344444,0.06470833,Europe
Europe,,1814,0.1544,0.060884614,Europe
Europe,,1815,0.15563157,0.071551725,Europe
Europe,,1816,0.15557894,0.07103448,Europe
Europe,,1817,0.15557894,0.07137931,Europe
Europe,,1818,0.15661111,0.07668965,Europe
Europe,,1819,0.16447058,0.0833,Europe
Europe,,1820,0.17913334,0.09566667,Europe
Europe,,1821,0.17964286,0.0951,Europe
Europe,,1822,0.17964286,0.09619355,Europe
Europe,,1823,0.17964286,0.09454839,Europe
Europe,,1824,0.17964286,0.09022581,Europe
Europe,,1825,0.17964286,0.09006452,Europe
Europe,,1826,0.17914286,0.088258065,Europe
Europe,,1827,0.17914286,0.08796774,Europe
Europe,,1828,0.17914286,0.08519355,Europe
Europe,,1829,0.17914286,0.08493549,Europe
Europe,,1830,0.19593333,0.09384375,Europe
Europe,,1831,0.17914286,0.10151515,Europe
Europe,,1832,0.17373334,0.09688235,Europe
Europe,,1833,0.1774375,0.09555882,Europe
Europe,,1834,0.1774375,0.09565714,Europe
Europe,,1835,0.1799375,0.0974,Europe
Europe,,1836,0.1805625,0.10065714,Europe
Europe,,1837,0.1805625,0.10128572,Europe
Europe,,1838,0.1805625,0.100857146,Europe
Europe,,1839,0.1805625,0.10094286,Europe
Europe,,1840,0.1815,0.105971426,Europe
Europe,,1841,0.1815,0.1054,Europe
Europe,,1842,0.1815,0.10477143,Europe
Europe,,1843,0.17806667,0.1076,Europe
Europe,,1844,0.17773333,0.10917143,Europe
Europe,,1845,0.17933333,0.10848571,Europe
Europe,,1846,0.17693333,0.107944444,Europe
Europe,,1847,0.17726667,0.11055556,Europe
Europe,,1848,0.192,0.16162162,Europe
Europe,,1849,0.16811112,0.19283783,Europe
Europe,,1850,0.15244445,0.16562162,Europe
Europe,,1851,0.17954546,0.15432432,Europe
Europe,,1852,0.1544,0.151,Europe
Europe,,1853,0.1544,0.15124324,Europe
Europe,,1854,0.1544,0.15167567,Europe
Europe,,1855,0.1568,0.15278378,Europe
Europe,,1856,0.1623,0.15308107,Europe
Europe,,1857,0.1749,0.15291892,Europe
Europe,,1858,0.16422223,0.1567027,Europe
Europe,,1859,0.16422223,0.16513513,Europe
Europe,,1860,0.174875,0.178,Europe
Europe,,1861,0.19566667,0.18611765,Europe
Europe,,1862,0.14333333,0.18851516,Europe
Europe,,1863,0.175,0.18726471,Europe
Europe,,1864,0.1805,0.18929411,Europe
Europe,,1865,0.1845,0.19211765,Europe
Europe,,1866,0.1845,0.19511765,Europe
Europe,,1867,0.14766666,0.21103226,Europe
Europe,,1868,0.1405,0.23354167,Europe
Europe,,1869,0.1405,0.242125,Europe
Europe,,1870,0.1405,0.24945833,Europe
Europe,,1871,0.211,0.26173913,Europe
Europe,,1872,0.211,0.27647367,Europe
Europe,,1873,0.211,0.27794737,Europe
Europe,,1874,0.227,0.27673686,Europe
Europe,,1875,0.227,0.2765263,Europe
Europe,,1876,0.227,0.28326315,Europe
Europe,,1877,0.227,0.28347367,Europe
Europe,,1878,0.336,0.2763,Europe
Europe,,1879,0.227,0.2828,Europe
Europe,,1880,0.227,0.28735,Europe
Europe,,1881,0.229,0.28615,Europe
Europe,,1882,0.229,0.28585,Europe
Europe,,1883,0.229,0.28635,Europe
Europe,,1884,0.229,0.29375,Europe
Europe,,1885,0.229,0.29140002,Europe
Europe,,1886,0.229,0.29155,Europe
Europe,,1887,0.229,0.294,Europe
Europe,,1888,0.229,0.2936,Europe
Europe,,1889,0.229,0.29585,Europe
Europe,,1890,0.229,0.29695,Europe
Europe,,1891,0.229,0.2978,Europe
Europe,,1892,0.229,0.29835,Europe
Europe,,1893,0.229,0.29915,Europe
Europe,,1894,0.244,0.3091,Europe
Europe,,1895,0.244,0.31215,Europe
Europe,,1896,0.244,0.3144,Europe
Europe,,1897,0.244,0.3146,Europe
Europe,,1898,0.244,0.31745,Europe
Europe,,1899,0.244,0.3172,Europe
Europe,,1900,0.35554546,0.29591668,Europe
Europe,,1901,0.35604545,0.30120835,Europe
Europe,,1902,0.356,0.3065,Europe
Europe,,1903,0.35627273,0.30566666,Europe
Europe,,1904,0.35663638,0.3125,Europe
Europe,,1905,0.35872728,0.31666666,Europe
Europe,,1906,0.35972726,0.32525,Europe
Europe,,1907,0.37366667,0.32808334,Europe
Europe,,1908,0.37547618,0.327375,Europe
Europe,,1909,0.37585714,0.32770833,Europe
Europe,,1910,0.38161904,0.32920834,Europe
Europe,,1911,0.38238096,0.33075,Europe
Europe,,1912,0.3705,0.33391666,Europe
Europe,,1913,0.3745,0.33620834,Europe
Europe,,1914,0.37113637,0.31932,Europe
Europe,,1915,0.37,0.30907694,Europe
Europe,,1916,0.3708261,0.32226923,Europe
Europe,,1917,0.37269565,0.32603845,Europe
Europe,,1918,0.40696427,0.34560713,Europe
Europe,,1919,0.43772414,0.38513795,Europe
Europe,,1920,0.44160715,0.44261292,Europe
Europe,,1921,0.45393333,0.47787097,Europe
Europe,,1922,0.45475,0.49470967,Europe
Europe,,1923,0.45103705,0.4981613,Europe
Europe,,1924,0.45296296,0.49829033,Europe
Europe,,1925,0.4527037,0.4912258,Europe
Europe,,1926,0.4515926,0.47719356,Europe
Europe,,1927,0.4484074,0.46512905,Europe
Europe,,1928,0.44937038,0.4658387,Europe
Europe,,1929,0.44996297,0.46409675,Europe
Europe,,1930,0.44964287,0.4530645,Europe
Europe,,1931,0.45610714,0.45680645,Europe
Europe,,1932,0.45707142,0.4788,Europe
Europe,,1933,0.44222224,0.45126668,Europe
Europe,,1934,0.4464643,0.41696668,Europe
Europe,,1935,0.44460714,0.3917742,Europe
Europe,,1936,0.44303572,0.38367742,Europe
Europe,,1937,0.43978572,0.37567744,Europe
Europe,,1938,0.43928573,0.37222582,Europe
Europe,,1939,0.41822222,0.35610345,Europe
Europe,,1940,0.37388,0.28215384,Europe
Europe,,1941,0.36176923,0.253,Europe
Europe,,1942,0.3616154,0.24644443,Europe
Europe,,1943,0.36023077,0.24077778,Europe
Europe,,1944,0.36774075,0.2295,Europe
Europe,,1945,0.44823077,0.29937038,Europe
Europe,,1946,0.50696295,0.41796297,Europe
Europe,,1947,0.52537036,0.46207407,Europe
Europe,,1948,0.52696157,0.47525924,Europe
Europe,,1949,0.53560716,0.4824138,Europe
Europe,,1950,0.5535,0.48948276,Europe
Europe,,1951,0.5532143,0.4897586,Europe
Europe,,1952,0.561,0.4889655,Europe
Europe,,1953,0.56325,0.49262068,Europe
Europe,,1954,0.56885713,0.49451724,Europe
Europe,,1955,0.56957144,0.49331033,Europe
Europe,,1956,0.5738571,0.4955517,Europe
Europe,,1957,0.57464284,0.49762067,Europe
Europe,,1958,0.5755,0.4896207,Europe
Europe,,1959,0.57693106,0.4869655,Europe
Europe,,1960,0.5896207,0.5025172,Europe
Europe,,1961,0.5964138,0.5077931,Europe
Europe,,1962,0.59782755,0.5107931,Europe
Europe,,1963,0.60335714,0.52317244,Europe
Europe,,1964,0.6065862,0.52555174,Europe
Europe,,1965,0.60865515,0.52589655,Europe
Europe,,1966,0.61537933,0.5250345,Europe
Europe,,1967,0.612931,0.51927584,Europe
Europe,,1968,0.6192069,0.5164138,Europe
Europe,,1969,0.6269655,0.51758623,Europe
Europe,,1970,0.64624137,0.5215862,Europe
Europe,,1971,0.6570345,0.5264138,Europe
Europe,,1972,0.6608276,0.535,Europe
Europe,,1973,0.66355175,0.53548276,Europe
Europe,,1974,0.6837586,0.54182756,Europe
Europe,,1975,0.6986207,0.5691034,Europe
Europe,,1976,0.7096207,0.5817586,Europe
Europe,,1977,0.71944827,0.5994138,Europe
Europe,,1978,0.72627586,0.6121724,Europe
Europe,,1979,0.7314483,0.6160345,Europe
Europe,,1980,0.7445517,0.6247586,Europe
Europe,,1981,0.7479655,0.62834483,Europe
Europe,,1982,0.7485517,0.62931037,Europe
Europe,,1983,0.7534138,0.63075864,Europe
Europe,,1984,0.75813794,0.6319655,Europe
Europe,,1985,0.759,0.6324138,Europe
Europe,,1986,0.7621724,0.63351727,Europe
Europe,,1987,0.7679655,0.6376552,Europe
Europe,,1988,0.77144825,0.6377931,Europe
Europe,,1989,0.7772,0.6367667,Europe
Europe,,1990,0.81275,0.72183335,Europe
Europe,,1991,0.8112778,0.71535134,Europe
Europe,,1992,0.81632435,0.7233158,Europe
Europe,,1993,0.8261282,0.7407692,Europe
Europe,,1994,0.82897437,0.74284613,Europe
Europe,,1995,0.832641,0.74597436,Europe
Europe,,1996,0.83966666,0.74753845,Europe
Europe,,1997,0.84241027,0.7547692,Europe
Europe,,1998,0.843775,0.74395,Europe
Europe,,1999,0.84105,0.73741466,Europe
Europe,,2000,0.852675,0.7437805,Europe
Europe,,2001,0.854075,0.74658537,Europe
Europe,,2002,0.8707436,0.75682926,Europe
Europe,,2003,0.87176925,0.7618781,Europe
Europe,,2004,0.88,0.759561,Europe
Europe,,2005,0.88292307,0.7617317,Europe
Europe,,2006,0.882175,0.7646585,Europe
Europe,,2007,0.885175,0.7654878,Europe
Europe,,2008,0.8864,0.7674634,Europe
Europe,,2009,0.88972497,0.7702439,Europe
Europe,,2010,0.89025,0.7720244,Europe
Europe,,2011,0.8912,0.7711951,Europe
Europe,,2012,0.8944,0.7686829,Europe
Europe,,2013,0.8882683,0.75953656,Europe
Europe,,2014,0.8889024,0.75634146,Europe
Europe,,2015,0.8893415,0.75480485,Europe
Europe,,2016,0.8963,0.7480488,Europe
Europe,,2017,0.8897561,0.7407805,Europe
Europe,,2018,0.8909756,0.7387073,Europe
Europe,,2019,0.8929756,0.74358535,Europe
Europe,,2020,0.88885367,0.7398293,Europe
Europe,,2021,0.8911219,0.73687804,Europe
Europe,,2022,0.89239025,0.73112196,Europe
Europe,,2023,0.8893415,0.72573173,Europe
Europe,,2024,0.8846585,0.7178293,Europe
North America,,1841,0.14,0.1551,North America
North America,,1842,0.14,0.16833334,North America
North America,,1843,0.14,0.17822222,North America
North America,,1844,0.181,0.1717,North America
North America,,1845,0.183,0.163,North America
North America,,1846,0.183,0.1589091,North America
North America,,1847,0.1805,0.1575,North America
North America,,1848,0.1625,0.15336363,North America
North America,,1849,0.1625,0.1614,North America
North America,,1850,0.1625,0.1598889,North America
North America,,1851,0.1625,0.1615,North America
North America,,1852,0.1625,0.15781818,North America
North America,,1853,0.1625,0.1591,North America
North America,,1854,0.1625,0.1621,North America
North America,,1855,0.1625,0.1617,North America
North America,,1856,0.1625,0.156,North America
North America,,1857,0.1625,0.1548,North America
North America,,1858,0.1625,0.1509091,North America
North America,,1859,0.1625,0.153,North America
North America,,1860,0.1805,0.1593,North America
North America,,1861,0.1805,0.1607,North America
North America,,1862,0.1805,0.1613,North America
North America,,1863,0.1805,0.15136364,North America
North America,,1864,0.1805,0.15245454,North America
North America,,1865,0.18433334,0.15963636,North America
North America,,1866,0.18433334,0.17054546,North America
North America,,1867,0.1805,0.17945454,North America
North America,,1868,0.17899999,0.18336363,North America
North America,,1869,0.17899999,0.17981818,North America
North America,,1870,0.17899999,0.1875,North America
North America,,1871,0.17899999,0.175,North America
North America,,1872,0.17300001,0.1863,North America
North America,,1873,0.17300001,0.1856,North America
North America,,1874,0.17300001,0.1936,North America
North America,,1875,0.17300001,0.1933,North America
North America,,1876,0.17300001,0.18345454,North America
North America,,1877,0.17300001,0.1768,North America
North America,,1878,0.17300001,0.1847,North America
North America,,1879,0.1805,0.1861,North America
North America,,1880,0.1805,0.1926,North America
North America,,1881,0.1805,0.2007,North America
North America,,1882,0.1805,0.1997,North America
North America,,1883,0.1805,0.2015,North America
North America,,1884,0.1805,0.195,North America
North America,,1885,0.1805,0.17627272,North America
North America,,1886,0.1805,0.18789999,North America
North America,,1887,0.204,0.1984,North America
North America,,1888,0.204,0.1986,North America
North America,,1889,0.199,0.202,North America
North America,,1890,0.22,0.19245455,North America
North America,,1891,0.22,0.19918182,North America
North America,,1892,0.22,0.2066,North America
North America,,1893,0.22,0.2046,North America
North America,,1894,0.22,0.1946,North America
North America,,1895,0.181,0.2023,North America
North America,,1896,0.177,0.2001,North America
North America,,1897,0.177,0.2066,North America
North America,,1898,0.285,0.20369999,North America
North America,,1899,0.337,0.2059,North America
North America,,1900,0.24871428,0.20053846,North America
North America,,1901,0.24192308,0.20161538,North America
North America,,1902,0.24785714,0.20653845,North America
North America,,1903,0.25653332,0.1972,North America
North America,,1904,0.25653332,0.20693333,North America
North America,,1905,0.25653332,0.20671429,North America
North America,,1906,0.25653332,0.205,North America
North America,,1907,0.25653332,0.1946,North America
North America,,1908,0.25646666,0.19253333,North America
North America,,1909,0.25646666,0.20380001,North America
North America,,1910,0.25546667,0.20586666,North America
North America,,1911,0.25753334,0.20753333,North America
North America,,1912,0.25726667,0.2148,North America
North America,,1913,0.2574,0.21513334,North America
North America,,1914,0.2574,0.21533333,North America
North America,,1915,0.25766668,0.21886666,North America
North America,,1916,0.2564,0.216,North America
North America,,1917,0.26506665,0.21046667,North America
North America,,1918,0.26613334,0.20593333,North America
North America,,1919,0.26886666,0.2094,North America
North America,,1920,0.27586666,0.21993333,North America
North America,,1921,0.27706668,0.23578572,North America
North America,,1922,0.27706668,0.24078572,North America
North America,,1923,0.2768,0.2425,North America
North America,,1924,0.27793333,0.24714285,North America
North America,,1925,0.28173333,0.2602143,North America
North America,,1926,0.28553334,0.25685716,North America
North America,,1927,0.28566667,0.25835714,North America
North America,,1928,0.286,0.25771427,North America
North America,,1929,0.287,0.25614285,North America
North America,,1930,0.2858,0.24842857,North America
North America,,1931,0.28513333,0.24792857,North America
North America,,1932,0.28653333,0.2395,North America
North America,,1933,0.28786665,0.241,North America
North America,,1934,0.29706666,0.24057142,North America
North America,,1935,0.29893333,0.243,North America
North America,,1936,0.29793334,0.25357142,North America
North America,,1937,0.29866666,0.2557857,North America
North America,,1938,0.298,0.25878572,North America
North America,,1939,0.3006,0.25814286,North America
North America,,1940,0.31013334,0.2627143,North America
North America,,1941,0.31406668,0.2632143,North America
North America,,1942,0.30142856,0.26221427,North America
North America,,1943,0.30121428,0.26421428,North America
North America,,1944,0.3052143,0.27385715,North America
North America,,1945,0.3277143,0.27933332,North America
North America,,1946,0.33007693,0.29113334,North America
North America,,1947,0.34338462,0.2966,North America
North America,,1948,0.34384614,0.2946,North America
North America,,1949,0.35353845,0.29566666,North America
North America,,1950,0.38169232,0.31766668,North America
North America,,1951,0.36158332,0.32933334,North America
North America,,1952,0.362,0.3276,North America
North America,,1953,0.36783335,0.34273332,North America
North America,,1954,0.37441668,0.34506667,North America
North America,,1955,0.36958334,0.34053335,North America
North America,,1956,0.37358335,0.34946665,North America
North America,,1957,0.37533334,0.35706666,North America
North America,,1958,0.37133333,0.36193335,North America
North America,,1959,0.3715,0.35293335,North America
North America,,1960,0.37083334,0.36086667,North America
